"","cluster","IVS","form","VL_OBSERVADO_2019"
"1",1,0.257183873398644,0.983802562170309,0.541555199698568
"2",2,0.478107142857143,0.973399585921325,0.45600414078675
"3",3,0.329566312997347,0.972213527851459,0.000364721485411141
"4",4,0.44494347826087,0.685469565217391,0.3775
