"cluster","IVS","formesp","VL_OBSERVADO_2019"
1,0.245208197787899,0.574785946649317,0.5530253741054
2,0.320041256157635,0.796114532019704,0.508166564039409
3,0.330411011523688,0.589743918053777,0
4,0.492884520884521,0.478807125307125,0.44847972972973
